1, rat, Right Anterior Temporal
2, lat, Left Anterior Temporal
3, rmt, Right Middle Temporal
4, lmt, Left Middle Temporal
5, rpt, Right Posterior Temporal
6, lpt, Left Posterior Temporal
7, rsm, Right Superficial Masseter
8, lsm, Left Superficial Masseter
9, rdm, Right Deep Masseter
10, ldm, Left Deep Masseter
11, rmp, Right Medial Pterygoid	
12, lmp, Left Medial Pterygoid
13, rsp, Right Superior Lateral Pterygoid
14, lsp, Left Superior Lateral Pterygoid
15, rip, Right Inferior Lateral Pterygoid
16, lip, Left Inferior Lateral Pterygoid
17, rad, Right Anterior Digastric
18, lad, Left Anterior Digastric
19, ram, Right Mylohyoid
20, lam, Left Mylohyoid
21, rpm, Right Posterior Mylohyoid
22, lpm, Left Posterior Mylohyoid
23, rgh, Right Geniohyoid
24, lgh, Left Geniohyoid
